idcomm,name,dname,zone,type,announce,ownership,area,agency,num_male,num_female,num_family,num_board,num_house
103301020,ชุมชนพัฒนาเอเซีย,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,29-ธ.ค.-38,บุกรุก,7,กรุงเทพมหานคร,270,306,50,7,50
103301009,ชุมชนแฟลต 1-10,คลองเตย,กรุงเทพใต้,เคหะชุมชน,20-ก.ย.-37,เช่า,44,การเคหะฯ,"3,790.00","4,600.00","2,098.00",25,"2,098.00"
103301010,ชุมชนแฟลต 11-18,คลองเตย,กรุงเทพใต้,เคหะชุมชน,20-ก.ย.-37,เช่า,32,การเคหะฯ,"3,500.00","3,900.00","1,397.00",15,"1,397.00"
103301011,ชุมชนแฟลต 19-22,คลองเตย,กรุงเทพใต้,เคหะชุมชน,20-ก.ย.-37,เช่า,17.5,การเคหะฯ,"1,542.00","1,042.00",480,15,480
103301029,ชุมชนแฟลต 23-24,คลองเตย,กรุงเทพใต้,เคหะชุมชน,12-ก.ย.-40,เช่า,4.5,การเคหะฯ,550,650,430,14,430
103303012,ชุมชนภูมิจิตร,คลองเตย,กรุงเทพใต้,ชุมชนเมือง,20-ก.ย.-37,เช่า,70,,790,830,311,7,311
103301016,ชุมชนร่มเกล้า,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,9-ธ.ค.-38,บุกรุก,14,การท่าเรือฯ,"1,470.00","1,910.00",352,12,352
103301032,ชุมชนร่วมใจสามัคคี,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,26-ส.ค.-41,เช่า,3.5,การท่าเรือฯ,365,444,168,7,168
103301033,ชุมชนริมคลองไผ่สิงโต,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,9-ก.ย.-41,บุกรุก,1,สนง.ทรัพย์สินฯ,68,103,44,7,44
103303013,ชุมชนริมคลองพระโขนง,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,20-ก.ย.-37,เช่า,6,องค์การฟอกหนัง,439,445,224,12,224
103301021,ชุมชนริมคลองวัดสะพาน,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,29-ธ.ค.-38,บุกรุก,4,การท่าเรือฯ,873,985,340,13,340
103301022,ชุมชนริมคลองสามัคคี,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,29-ธ.ค.-38,บุกรุก,11,กรุงเทพมหานคร,336,364,219,7,219
103301023,ชุมชนริมทางรถไฟสายท่าเรือ,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,29-ธ.ค.-38,บุกรุก,25,การรถไฟฯ,"1,542.00","1,652.00",518,15,518
103303014,ชุมชนเริ่มเจริญ,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,20-ก.ย.-37,ตนเองและเช่า,12,,245,370,50,7,50
103301024,ชุมชนโรงหมู,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,29-ธ.ค.-38,บุกรุก,30,การท่าเรือฯ,826,970,449,13,449
103301025,ชุมชนวัดคลองเตยใน 1,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,29-ธ.ค.-38,บุกรุก,6,การท่าเรือฯ,"1,033.00","1,102.00",212,9,212
103301026,ชุมชนวัดคลองเตยใน 2,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,29-ธ.ค.-38,บุกรุก,6,การท่าเรือฯ,"1,255.00","1,316.00",425,13,425
103301031,ชุมชนวัดคลองเตยใน 3,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,8-พ.ค.-41,บุกรุก,2.2,การท่าเรือฯ,352,330,125,7,125
103303039,ชุมชนสวนไทร,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,8-ธ.ค.-42,เช่า,4,,222,228,120,7,120
103303027,ชุมชนสวนอ้อย,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,29-ธ.ค.-38,บุกรุก,6.2,การท่าเรือฯ,716,784,485,21,485
103303035,ชุมชนสวัสดี,คลองเตย,กรุงเทพใต้,ชุมชนเมือง,12-มี.ค.-42,ตนเองและเช่า,5.8,,51,68,43,7,43
103302037,ชุมชนแสนสบาย-แสนสุข,คลองเตย,กรุงเทพใต้,ชุมชนเมือง,2-ก.ย.-42,เช่า,100,สนง.ทรัพย์สินฯ,"1,355.00","1,805.00",980,25,980
103303036,ชุมชนหมู่บ้านเปรมฤทัย,คลองเตย,กรุงเทพใต้,ชุมชนหมู่บ้านจัดสรร,7-เม.ย.-42,ตนเอง,12,,180,252,92,7,92
103301015,ชุมชนหมู่บ้านพัฒนา 70 ไร่,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,20-ก.ย.-37,เช่า,70,การท่าเรือฯ,"4,396.00","4,097.00","1,120.00",25,"1,120.00"
103301028,ชุมชนหัวโค้ง,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,29-ธ.ค.-38,บุกรุก,10,การท่าเรือฯ,"1,165.00","1,585.00",341,12,341
103301040,ชุมชนอาคารทรัพย์สิน 26-7,คลองเตย,กรุงเทพใต้,ชุมชนอาคารสูง,19-พ.ย.-44,เช่า,3.2,สนง.ทรัพย์สินฯ,744,770,380,13,380
101803005,ชุมชนเกษมใหม่,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,25,,218,212,110,7,110
101804002,ชุมชนข้างโรงเรียนมิตรพลพณิชยการ,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,4,,100,107,50,7,50
101803003,ชุมชนคลองต้นไทร,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,4,,969,"1,196.00",517,15,517
101803004,ชุมชนคลองพระยาเกษม,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,20,,225,250,114,7,114
101802034,ชุมชนชาวประชาท่าดินแดง,คลองสาน,กรุงธนเหนือ,ชุมชนเมือง,19-ก.ค.-37,ตนเองและเช่า,5,,389,475,178,7,178
101803006,ชุมชนซอยจำเริญ,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,20,,274,338,125,8,125
101803038,ชุมชนซอยเจริญนคร 20,คลองสาน,กรุงธนเหนือ,ชุมชนเมือง,24-มิ.ย.-39,ตนเองและเช่า,6,,250,355,173,7,173
101803030,ชุมชนซอยเจริญนคร 24/1,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,2-ก.พ.-36,ตนเองและเช่า,2,,150,77,45,7,45
101804040,ชุมชนซอยเจริญรัถ 12,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,23-ก.ค.-39,ตนเองและเช่า,1,,46,70,51,7,51
101802041,ชุมชนซอยเจริญรัถ 5,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,23-ก.ค.-39,ตนเองและเช่า,10,,144,180,54,7,54
101801007,ชุมชนซอยช่างนาค-สะพานยาว,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,40,กรมการศาสนา,"1,020.00","1,189.00",525,7,525
101802039,ชุมชนซอยท่าดินแดง 14-16,คลองสาน,กรุงธนเหนือ,ชุมชนเมือง,24-มิ.ย.-39,ตนเอง,50,,"2,398.00","4,397.00","1,020.00",13,"1,020.00"
101802031,ชุมชนซอยแยกถนนเชียงใหม่,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,2-ก.พ.-36,ตนเองและเช่า,5,,150,183,52,7,52
101804008,ชุมชนซอยร่วมมิตร,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,5,,311,357,157,8,157
101804009,ชุมชนซอยราษฎร์ร่วมเจริญ,คลองสาน,กรุงธนเหนือ,ชุมชนเมือง,26-มี.ค.-35,ตนเองและเช่า,10,,317,353,140,7,140
101804010,ชุมชนซอยวนาวรรณ,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,30,,"1,214.00","1,303.00",452,15,452
101803011,ชุมชนซอยวัฒนา,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,เช่า,20,,890,"1,030.00",163,8,163
101804012,ชุมชนซอยวัดสุวรรณ,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,4,กรมการศาสนา,120,147,85,7,85
101801013,ชุมชนซอยสารภี 1,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,15,กรมการศาสนา,212,398,113,7,113
101803014,ชุมชนซอยหงษ์ทอง,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,12,,450,427,218,10,218
101804029,ชุมชนตรอกงูเห่า,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,28-มี.ค.-35,ตนเองและเช่า,7,,126,137,54,7,54
101804032,ชุมชนปากคลองต้นไทร,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,28-ก.ค.-36,ตนเองและเช่า,1,,54,66,23,7,23
101802042,ชุมชนแฟลตตำรวจคลองสาน,คลองสาน,กรุงธนเหนือ,ชุมชนอาคารสูง,11-ธ.ค.-45,สวัสดิการ,3,สนง.ตำรวจฯ,319,291,266,9,266
101804015,ชุมชนมัสยิดสุวรรณภูมิ,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,5,,216,210,63,7,63
101802017,ชุมชนวัดทองธรรมชาติ,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,10,กรมการศาสนา,126,280,65,7,65
101802018,ชุมชนวัดทองนพคุณ,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,36,สนง.ทรัพย์สินฯ,720,920,207,9,207
101804019,ชุมชนวัดทองเพลง,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,5,กรมการศาสนา,113,139,158,7,158
101803020,ชุมชนวัดเศวตฉัตร,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,10,กรมการศาสนา,120,315,94,7,94
101803021,ชุมชนวัดสุทธาราม,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,10,กรมการศาสนา,392,588,301,8,301
101804035,ชุมชนศาลเจ้าอาเหนียว,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,7-ส.ค.-37,ตนเองและเช่า,6,,324,485,247,10,247
101801037,ชุมชนสวนสมเด็จย่า,คลองสาน,กรุงธนเหนือ,ชุมชนเมือง,4-ก.ค.-38,ตนเองและเช่า,20,กรมการศาสนา,"1,075.00","1,325.00",742,15,742
101804033,ชุมชนสองร้อยห้อง,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,25-ม.ค.-37,ตนเองและเช่า,10,,408,612,375,8,375
101803016,ชุมชนสำปาย้าพัฒนา,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,25,,820,765,181,8,181
101804022,ชุมชนหน้าตลาดศิรินทร์,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,10,,145,175,56,7,56
101803023,ชุมชนหลวงพ่อโบสถ์บน,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,8,กรมการศาสนา,180,210,144,7,144
101803024,ชุมชนหลังตลาดเจริญนคร,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,เช่า,30,สนง.ทรัพย์สินฯ,850,"1,100.00",313,11,313
101802025,ชุมชนหลังโรงพยาบาลสมเด็จเจ้าพระยา,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,25,,169,171,33,7,33
101804036,ชุมชนหลังโรงภาพยนตร์ไทยราม่า,คลองสาน,กรุงธนเหนือ,ชุมชนเมือง,21-มิ.ย.-38,ตนเองและเช่า,5,,456,575,301,11,301
101802026,ชุมชนหลังโรงเรียนกุลสิริเทคโนโลยี,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,6,,98,109,25,7,25
101802027,ชุมชนหลังโรงเรียนสารพัดช่างธนบุรี,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,ตนเองและเช่า,4,สนง.ทรัพย์สินฯ,305,413,115,7,115
101801028,ชุมชนหลังวัดพิชัยญาติ,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,26-มี.ค.-35,เช่า,15,,193,217,86,8,86
101803001,ชุมชนอู่ใหม่,คลองสาน,กรุงธนเหนือ,ชุมชนแออัด,6-มี.ค.-35,เช่า,30,กรมธนารักษ์,218,254,95,7,95
104605002,ชุมชนกมาลุลอิสลาม,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,14-ก.ย.-35,เช่า,40,,420,516,146,9,146
104603062,ชุมชนกาญจนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,5-พ.ย.-47,ตนเอง,45,,143,165,80,7,80
104605003,ชุมชนเกาะขุนเณร,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,14-ก.ย.-35,ตนเองและเช่า,3000,,520,605,150,7,150
104602060,ชุมชนคลองลำกระดาน,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,2-มิ.ย.-46,ตนเอง,175,,650,850,118,8,118
104602050,ชุมชนคลองลำมะเขือขื่น,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,15-พ.ย.-42,ตนเองและเช่า,4000,,202,208,92,7,92
104602067,ชุมชนเคหะคลองเก้า,คลองสามวา,กรุงเทพตะวันออก,เคหะชุมชน,23-เม.ย.-50,ตนเองและเช่า,157,,529,634,652,23,652
104603022,ชุมชนเจริญพัฒนา (คูคต),คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,30-พ.ค.-39,ตนเองและเช่า,48,,155,148,119,7,119
104605034,ชุมชนเจริญสุขพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,16-พ.ย.-41,ตนเองและเช่า,1200,,92,158,129,7,129
104602032,ชุมชนดารุสสลามสร้างสรรค์,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,28-ส.ค.-41,ตนเองและเช่า,14,,414,386,202,7,202
104605053,ชุมชนตาหวานพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,20-มี.ค.-43,ตนเองและเช่า,50,,230,245,84,7,84
104602057,ชุมชนทุ่งรวงทองพัฒนาแบนชะโด,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,28-ก.พ.-46,ตนเองและเช่า,677,,162,163,53,7,53
104603017,ชุมชนไทยเอราวัณ,คลองสามวา,กรุงเทพตะวันออก,ชุมชนหมู่บ้านจัดสรร,29-เม.ย.-37,ตนเองและเช่า,9,,92,119,65,7,65
104602004,ชุมชนน้ำใสดอกไม้สวย,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,14-ก.ย.-35,ตนเองและเช่า,15,,124,96,49,7,49
104602031,ชุมชนนิมิตใหม่พัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,5-ก.ค.-40,ตนเองและเช่า,800,,90,105,32,7,32
104603035,ชุมชนนีรชา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนหมู่บ้านจัดสรร,8-ม.ค.-42,ตนเองและเช่า,53,,230,170,120,7,120
104605045,ชุมชนนูรุดดีน,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,22-ก.ย.-42,ตนเอง,50,,236,208,90,7,90
104604005,ชุมชนบัวแก้วพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,14-ก.ย.-35,ตนเองและเช่า,700,,183,137,67,7,67
104603058,ชุมชนบ้านลำกะโหลก,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,2-เม.ย.-46,ตนเอง,400,,215,208,134,7,134
104603054,ชุมชนบำรุงสุข-บุญมา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,2-เม.ย.-43,ตนเองและเช่า,1500,,624,916,435,25,435
,ชุมชนเคหะธนบุรี 1 ส่วน 4,บางขุนเทียน,กรุงธนใต้,เคหะชุมชน,,,,,,,,,
,ชุมชนเคหะฉลองกรุงโซน4,หนองจอก,,ชุมชนเคหะ,,,,,,,,,
,ชุมชนหมู่บ้านธรรมสาธิตวิลล่า,พระโขนง,,ชุมชนหมู่บ้าน,,,,,,,,,
104604046,ชุมชนบึงไผ่,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,22-ก.ย.-42,ตนเอง,1500,,204,218,174,7,174
104601059,ชุมชนเบญจมพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,4-เม.ย.-46,ตนเอง,1300,,250,350,71,7,71
104605080,ชุมชนประชาร่วมใจพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนเมือง,28-ธ.ค.-55,ตนเอง,,,212,239,81,,81
104602006,ชุมชนประชาสร้างสรรค์,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,14-ก.ย.-35,ตนเองและเช่า,550,,280,320,61,7,61
104603052,ชุมชนประยงค์แย้ม,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,7-มี.ค.-43,ตนเอง,7,,225,208,110,7,110
104602036,ชุมชนประสานมิตรพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,2-ก.พ.-42,ตนเอง,700,,138,131,53,7,53
104601007,ชุมชนแป้นทองสัมพันธ์,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,14-ก.ย.-35,ตนเองและเช่า,10,,164,214,120,7,120
104602030,ชุมชนพร้อมใจพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,25-มิ.ย.-40,ตนเองและเช่า,10,,540,649,248,11,248
104602019,ชุมชนพร้อมพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,6-มี.ค.-38,ตนเองและเช่า,10,,95,110,45,7,45
104601008,ชุมชนพระยาสุเรนทร์,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,14-ก.ย.-35,ตนเองและเช่า,600,,453,347,95,7,95
104602016,ชุมชนเฟื่องฟ้าพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,14-ก.ย.-35,ตนเองและเช่า,800,,247,261,109,7,109
104603068,ชุมชนเฟื่องฟ้าวิลเลจ,คลองสามวา,กรุงเทพตะวันออก,ชุมชนหมู่บ้านจัดสรร,15-พ.ค.-50,ตนเอง,10,,238,283,124,7,124
104603020,ชุมชนภู่ระหงษ์ 2,คลองสามวา,กรุงเทพตะวันออก,ชุมชนหมู่บ้านจัดสรร,15-ก.ย.-38,ตนเองและเช่า,28,,192,187,75,7,75
104601066,ชุมชนมโนรมย์ 5,คลองสามวา,กรุงเทพตะวันออก,ชุมชนหมู่บ้านจัดสรร,29-มิ.ย.-49,ตนเอง,13,,387,372,238,11,238
104603073,ชุมชนมหาโชค,คลองสามวา,กรุงเทพตะวันออก,ชุมชนหมู่บ้านจัดสรร,16-ก.พ.-53,ตนเอง,38,,321,369,238,9,238
104605021,ชุมชนมัสยิดฮิดายาตุ้ลอิสลามมิยะห์ (แสนแสบ),คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,14-ธ.ค.-38,ตนเอง,25,,415,430,165,11,165
104601009,ชุมชนมีนทองพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,14-ก.ย.-35,ตนเองและเช่า,15,,172,190,74,7,74
104601026,ชุมชนเมืองประชา-รามอินทรา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนหมู่บ้านจัดสรร,15-ก.พ.-40,ตนเอง,158,,"1,115.00","1,309.00","1,443.00",22,"1,443.00"
104603075,ชุมชนร่มเย็น 24,คลองสามวา,กรุงเทพตะวันออก,ชุมชนหมู่บ้านจัดสรร,30-ต.ค.-55,ตนเอง,,,240,117,165,,165
104601010,ชุมชนร่มรื่น,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,14-ก.ย.-35,ตนเองและเช่า,23,,225,309,150,7,150
104603023,ชุมชนร่วมใจพัฒนา (คลองกีบหมู),คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,25-ก.ย.-39,ตนเองและเช่า,32,,183,255,84,7,84
104605038,ชุมชนร่วมใจรักพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,5-ก.ค.-42,ตนเอง,600,,700,800,102,7,102
104602011,ชุมชนรวมน้ำใจพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,14-ก.ย.-35,ตนเองและเช่า,130,,99,112,49,7,49
104605040,ชุมชนร่วมพลังพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,23-ก.ค.-42,ตนเอง,90,,174,188,73,7,73
104604061,ชุมชนร่วมแรงร่วมใจพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,31-พ.ค.-47,ตนเอง,450,,155,156,56,7,56
104601012,ชุมชนราษฎร์นิมิตสัมพันธ์,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,14-ก.ย.-35,ตนเองและเช่า,25,,220,280,83,7,83
104604047,ชุมชนริมคลอง 1,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,22-ก.ย.-42,ตนเอง,1500,,215,235,195,7,195
104601078,ชุมชนริมคลองหนองระแหง,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,13-พ.ย.-55,ตนเองและเช่า,1105,,148,163,63,,63
104603064,ชุมชนรุ่งเรือง 1,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,28-ต.ค.-48,ตนเองและเช่า,1500,,487,448,179,9,179
104604013,ชุมชนวังตาหนวดพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,14-ก.ย.-35,ตนเอง,1500,,227,267,136,7,136
104602023,ชุมชนวัดสุขใจ,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,17-ก.ย.-41,ตนเองและเช่า,10,,300,200,114,7,114
104605051,ชุมชนวาสิฎฐี,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,15-พ.ย.-42,ตนเอง,510,,275,349,64,7,64
104605055,ชุมชนศรีบูรพาบ้านแบนชะโด,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,5-พ.ย.-45,ตนเอง,1600,,399,372,211,7,211
104605041,ชุมชนสามัคคีทำ,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,23-ก.ค.-42,ตนเอง,820,,230,490,139,7,139
104602025,ชุมชนสามัคคีพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,10-ก.พ.-40,ตนเองและเช่า,1300,,145,187,96,7,96
104601014,ชุมชนสายสัมพันธ์พัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,14-ก.ย.-35,ตนเองและเช่า,4,,229,223,85,7,85
104605074,ชุมชนสุขใจสามัคคี,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,12-มิ.ย.-55,ตนเองและเช่า,1350,,263,306,104,7,104
104602001,ชุมชนสุขสันต์พัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,4-ก.ย.-35,ตนเองและเช่า,800,,600,800,149,7,149
104601015,ชุมชนสุขสำราญพัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,14-ก.ย.-35,ตนเองและเช่า,20,,236,230,103,7,103
104603076,ชุมชนหทัยราษฎร์ 31,คลองสามวา,กรุงเทพตะวันออก,ชุมชนหมู่บ้านจัดสรร,30-ต.ค.-55,ตนเอง,,,159,156,95,,95
104602028,ชุมชนหมู่ 14 พัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,19-พ.ค.-40,ตนเองและเช่า,1000,,349,333,91,7,91
104602029,ชุมชนหมู่ 15 พัฒนา,คลองสามวา,กรุงเทพตะวันออก,ชุมชนชานเมือง,19-พ.ค.-40,ตนเองและเช่า,1200,,397,428,154,7,154
